,z1,z2,z3,z4,z5
0,-40524.8854286252,-40533.1943751924,-40534.738458874,-40534.7839563348,-40534.7842556602
2,-40524.8928573374,-40533.213123847,-40534.726077687,-40534.7718472618,-40534.7722826442
4,-40524.9425725652,-40533.2290697274,-40534.6888797032,-40534.736281962,-40534.7367717672
6,-40525.0142201814,-40533.1850688936,-40534.6319534544,-40534.6767978416,-40534.68920624
8,-40525.1315557382,-40533.12319017,-40534.5489042616,-40534.6018848574,-40534.604714843
10,-40525.3742814262,-40533.0429709628,-40534.4412559632,-40534.492331761,-40534.4950801124
12,-40525.4576299444,-40532.9427241652,-40534.3070493384,-40534.3469412508,-40534.2813617768
14,-40525.6615793874,-40532.8217967036,-40534.145522468,-40534.1826116062,-40534.182257858
16,-40525.8718146638,-40532.6784742598,-40533.9538453664,-40533.9873153884,-40533.9864990464
18,-40526.0611243736,-40532.4541162668,-40533.7310656346,-40533.7599097186,-40533.692452658
20,-40526.2254540182,-40532.3223858794,-40533.4742444414,-40533.4969115376,-40533.4947074142
